Country Name,Supply Plan Bucket Description,L5 - Product,DataMeasure,Period,Value
Mozambique,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Projected Inventory Adjustment,2028-06,0.0
Mozambique,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Projected Inventory Adjustment,2028-07,0.0
Mozambique,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Projected Inventory Adjustment,2028-08,0.0
Mozambique,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Expected Requirements,2026-03,900000.0
Mozambique,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Expected Requirements,2026-06,1180000.0
Mozambique,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Expected Requirements,2026-12,2280000.0
Mozambique,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Expected Requirements,2027-03,1263112.0
Mozambique,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Expected Requirements,2027-06,1282734.0
Mozambique,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Expected Requirements,2027-09,1310344.0
Mozambique,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Expected Requirements,2027-12,1340709.0
Mozambique,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Expected Requirements,2028-03,1369133.0
Mozambique,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Expected Requirements,2028-06,1413616.0
Mozambique,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In-Transit Shipments,2026-07,2577200.0
Mozambique,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Received Shipments,2026-05,982000.0
Mozambique,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",Manual Adjustment,2026-05,582000.0
